排名,电影名称,评分,评价人数,简介,封面图片超链接
44,闻香识女人,9.0,514801,史上最美的探戈。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg
45,素媛,9.2,345042,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg
46,辩护人,9.2,358889,电影的现实意义大过电影本身。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg
47,窃听风暴,9.1,353075,别样人生。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg
48,死亡诗社,9.0,430091,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p502437344.jpg
49,何以为家,9.1,408926,凝视卑弱生命，用电影改变命运。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg
50,两杆大烟枪,9.1,380710,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg
51,指环王2：双塔奇兵,9.0,418426,承前启后的史诗篇章。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg
52,飞越疯人院,9.1,384966,自由万岁。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
53,教父2,9.2,305050,优雅的孤独。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg
54,狮子王,9.0,463004,动物版《哈姆雷特》。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg
55,指环王1：魔戒再现,9.0,469945,传说的开始。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg
56,V字仇杀队,8.9,660219,一张面具背后的理想与革命。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg
57,美丽心灵,9.0,460807,爱是一切逻辑和原由。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg
58,饮食男女,9.1,327540,人生不能像做菜，把所有的料都准备好了才下锅。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
59,大闹天宫,9.3,204222,经典之作，历久弥新。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg
60,哈利·波特与魔法石,8.9,498613,童话世界的开端。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg
61,海豚湾,9.3,253637,海豚的微笑，是世界上最高明的伪装。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg
62,钢琴家,9.1,305710,音乐能化解仇恨。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg
63,情书,8.9,563900,暗恋的极致。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg
64,本杰明·巴顿奇事,8.9,601941,在时间之河里感受溺水之苦。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg
