排名,电影名称,评分,评价人数,简介,封面图片超链接
187,燃情岁月,8.8,190586,传奇，不是每个人都可以拥有。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.jpg
188,房间,8.8,239087,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg
189,魔女宅急便,8.6,291036,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg
190,海街日记,8.7,225566,是枝裕和的家庭习作。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2232247487.jpg
191,恐怖游轮,8.4,477333,不要企图在重复中寻找已经失去的爱。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg
192,穿越时空的少女,8.6,259474,爱上未来的你。 ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2079334286.jpg
193,魂断蓝桥,8.8,169867,中国式内在的美国电影。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg
194,惊魂记,8.9,133323,故事的反转与反转，分裂电影的始祖。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg
195,罗生门,8.8,182774,人生的N种可能性。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2564689879.jpg
196,完美陌生人,8.5,345638,来啊，互相伤害啊！,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2522331945.jpg
197,猜火车,8.5,312736,不可猜的青春迷笛。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513567548.jpg
198,阿飞正传,8.5,307051,王家卫是一种风格，张国荣是一个代表。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg
199,香水,8.5,373445,一个单凭体香达到高潮的男人。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p470006658.jpg
200,疯狂的石头,8.4,472677,中国版《两杆大烟枪》。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg
201,可可西里,8.7,177472,坚硬的信仰。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414771522.jpg
202,牯岭街少年杀人事件,8.8,155597,弱者送给弱者的一刀。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg
203,谍影重重2,8.6,226227,谁说王家卫镜头很晃？,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg
204,奇迹男孩,8.6,341147,世界不完美，爱会有奇迹。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg
205,初恋这件小事,8.4,658471,黑小鸭速效美白记。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg
206,釜山行,8.4,602526,揭露人性的丧尸题材力作。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg
207,谍影重重,8.6,269643,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg
208,朗读者,8.5,339904,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg
209,战争之王,8.6,232202,做一颗让别人需要你的棋子。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792282381.jpg
210,浪潮,8.7,178433,世界离独裁只有五天。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1344888983.jpg
211,地球上的星星,8.9,125797,天使保护事件始末。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1973489335.jpg
212,青蛇,8.5,314708,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p584021784.jpg
213,终结者2：审判日,8.7,206646,少见的超越首部的续集，动作片中的经典。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg
214,爱在午夜降临前,8.8,174773,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg
215,2001太空漫游,8.8,162131,现代科幻电影的开山之作，最伟大导演的最伟大影片。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2500694952.jpg
216,新龙门客栈,8.6,269153,嬉笑怒骂，调风动月。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg
217,源代码,8.4,533353,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg
218,新世界,8.7,164382,要做就做得狠一点，这样才能活下去。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg
219,步履不停,8.8,147113,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561539680.jpg
220,无耻混蛋,8.5,305076,昆汀同学越来越变态了，比北野武还杜琪峰。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p770734475.jpg
221,小萝莉的猴神大叔,8.4,287330,宝莱坞的萝莉与大叔。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510956726.jpg
222,绿里奇迹,8.8,154975,天使暂时离开。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg
223,再次出发之纽约遇见你,8.5,255484,爱我就给我看你的播放列表。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.jpg
224,追随,8.9,112258,诺兰的牛逼来源于内心散发出的恐惧。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2074443514.jpg
225,一次别离,8.7,173087,只有有信仰的人才能说出事实真相。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189835254.jpg
226,血钻,8.6,205933,每个美丽事物背后都是滴血的现实。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg
227,彗星来的那一夜,8.5,290687,小成本大魅力。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.jpg
228,城市之光,9.3,68221,永远的小人物，伟大的卓别林。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg
229,东京物语,9.2,75994,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1925331564.jpg
230,疯狂的麦克斯4：狂暴之路,8.6,310432,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg
231,撞车,8.6,224720,天使与魔鬼的冲撞。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2075132390.jpg
232,哈利·波特与阿兹卡班的囚徒,8.5,281867,不一样的导演，不一样的哈利·波特。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg
233,梦之安魂曲,8.7,148564,一场没有春天的噩梦。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p884936202.jpg
234,聚焦,8.8,178607,新闻人的理性求真。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263822658.jpg
235,哈利·波特与密室,8.5,300934,魔法的密室之门已打开...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg
236,发条橙,8.5,250203,我完全康复了。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p529908155.jpg
237,遗愿清单,8.6,202318,用剩余不多的时间，去燃烧整个生命。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p708613284.jpg
238,黑鹰坠落,8.6,176533,还原真实而残酷的战争。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910900710.jpg
239,E.T. 外星人,8.6,218719,生病的E.T.皮肤的颜色就像柿子饼。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p984732992.jpg
240,绿皮书,8.9,815077,没有电影简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg
241,这个男人来自地球,8.5,251692,科幻真正的魅力不是视觉效果能取代的。 ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513303986.jpg
242,末路狂花,8.7,142328,没有了退路，只好飞向自由。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p794583044.jpg
243,驴得水,8.3,529188,过去的如果就让它过去了，未来只会越来越糟！,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2393044761.jpg
244,我爱你,9.0,88671,你要相信，这世上真的有爱存在，不管在什么年纪 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1075591188.jpg
245,变脸,8.5,280564,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173855883.jpg
246,千钧一发,8.7,137851,一部能引人思考的科幻励志片。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2195672555.jpg
247,国王的演讲,8.4,447394,皇上无话儿。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p768879237.jpg
248,勇闯夺命岛,8.6,187652,类型片的极致。 ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p636048104.jpg
249,黄金三镖客,9.1,73836,最棒的西部片。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2101693400.jpg
250,非常嫌疑犯,8.6,169249,我不信仰上帝，但我敬畏上帝。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2537319495.jpg
